"ID","imdbID","Title","Year","Rating","Runtime","Genre","Released","Director","Writer","Cast","Metacritic","imdbRating","imdbVotes","Language","Country","Awards","lastUpdated","Oscars"
106627,"tt0106627","The Crush",1993,"R",89,"Drama, Romance, Thriller","1993-04-02","Alan Shapiro","Alan Shapiro","Cary Elwes, Alicia Silverstone, Jennifer Rubin, Kurtwood Smith",NA,5.6,9961,"English","USA","2 wins & 2 nominations.","2014-04-04 19:54:02.613000000",0
106660,"tt0106660","Dangerous Game",1993,"R",108,"Drama","1993-11-19","Abel Ferrara","Nicholas St. John","Harvey Keitel, Madonna, James Russo, Nancy Ferrara",NA,5.6,2365,"English","USA, Italy","1 win & 1 nomination.","2014-03-17 00:06:45.283000000",0
106664,"tt0106664","The Dark Half",1993,"R",122,"Horror, Mystery","1993-04-23","George A. Romero","Stephen King (novel), George A. Romero (screenplay)","Timothy Hutton, Amy Madigan, Michael Rooker, Julie Harris",NA,5.9,9726,"English","USA","3 wins & 4 nominations.","2014-03-14 00:39:54.503000000",0
106673,"tt0106673","Dave",1993,"PG-13",110,"Comedy, Romance","1993-05-07","Ivan Reitman","Gary Ross","Kevin Kline, Sigourney Weaver, Frank Langella, Kevin Dunn",NA,6.8,35176,"English, Spanish","USA","Nominated for 1 Oscar. Another 2 wins & 4 nominations.","2014-03-30 00:00:02.323000000",0
106677,"tt0106677","Dazed and Confused",1993,"R",102,"Comedy, Drama","1993-09-24","Richard Linklater","Richard Linklater","Jason London, Joey Lauren Adams, Milla Jovovich, Shawn Andrews",78,7.7,87393,"English","USA","2 nominations.","2014-03-07 00:11:45.977000000",0
106697,"tt0106697","Demolition Man",1993,"R",115,"Action, Crime, Sci-Fi","1993-10-08","Marco Brambilla","Peter M. Lenkov (story), Robert Reneau (story), Daniel Waters (screenplay), Robert Reneau (screenplay), Peter M. Lenkov (screenplay)","Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",34,6.6,95841,"English","USA","1 win & 5 nominations.","2014-03-26 00:08:25.070000000",0
106701,"tt0106701","Dennis the Menace",1993,"PG",94,"Comedy, Family","1993-06-25","Nick Castle","Hank Ketcham (characters), John Hughes","Walter Matthau, Mason Gamble, Joan Plowright, Christopher Lloyd",NA,5.4,33443,"English","USA","3 wins & 2 nominations.","2014-03-13 00:20:53.807000000",0
106761,"tt0106761","Double Dragon",1994,"PG-13",96,"Action, Adventure, Comedy","1994-11-04","James Yukich","Paul Dini (story), Neal Shusterman (story), Michael Davis (screenplay), Peter Gould (screenplay)","Robert Patrick, Mark Dacascos, Scott Wolf, Kristina Wagner",NA,3.5,7176,"English","USA",NA,"2014-03-13 00:11:08.250000000",0
106770,"tt0106770","Dragon: The Bruce Lee Story",1993,"PG-13",120,"Action, Biography, Drama","1993-05-07","Rob L. Cohen","Robert Clouse (book), Linda Lee Cadwell (book), Edward Khmara (screenplay), John Raffo (screenplay), Rob Cohen (screenplay)","Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned",NA,7,17709,"English, Cantonese","USA","1 win & 2 nominations.","2014-03-15 00:17:01.560000000",0
106834,"tt0106834","Even Cowgirls Get the Blues",1993,"R",95,"Comedy, Drama, Romance","1994-05-20","Gus Van Sant","Tom Robbins (novel), Gus Van Sant (screenplay)","Uma Thurman, Lorraine Bracco, Pat Morita, Angie Dickinson",28,4.2,5451,"English, German","USA","1 win & 3 nominations.","2014-03-22 00:20:23.467000000",0
106856,"tt0106856","Falling Down",1993,"R",113,"Crime, Drama, Thriller","1993-02-26","Joel Schumacher","Ebbe Roe Smith","Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin",56,7.6,110405,"English, Spanish, Korean","France, USA, UK","1 win & 2 nominations.","2014-03-07 00:11:06.727000000",0
106868,"tt0106868","A Far Off Place",1993,"PG",108,"Adventure, Drama, Family","1993-03-12","Mikael Salomon","Laurens Van der Post (books), Robert Caswell (screenplay), Jonathan Hensleigh (screenplay), Sally Robinson (screenplay)","Reese Witherspoon, Ethan Embry, Jack Thompson, Sarel Bok",NA,6.6,2422,"English","USA",NA,"2014-03-19 00:18:02.183000000",0
106873,"tt0106873","Fatal Instinct",1993,"PG-13",91,"Comedy, Crime, Thriller","1993-10-29","Carl Reiner","David O'Malley","Armand Assante, Sherilyn Fenn, Kate Nelligan, Sean Young",NA,5.6,4738,"English, Yiddish","USA",NA,"2014-04-04 19:50:28.177000000",0
106877,"tt0106877","Father Hood",1993,"PG-13",95,"Comedy","1993-08-27","Darrell Roodt","Scott Spencer","Patrick Swayze, Halle Berry, Sabrina Lloyd, Brian Bonsall",NA,4.6,1928,"English","USA",NA,"2014-03-05 01:04:35.137000000",0
106880,"tt0106880","Fear of a Black Hat",1993,"R",88,"Comedy, Music","1994-06-03","Rusty Cundieff","Rusty Cundieff","Mark Christopher Lawrence, Larry B. Scott, Rusty Cundieff, Kasi Lemmons",NA,7.2,3062,"English","USA, UK",NA,"2014-03-26 01:56:15.957000000",0
106881,"tt0106881","Fearless",1993,"R",122,"Drama","1993-10-15","Peter Weir","Rafael Yglesias (novel), Rafael Yglesias (screenplay)","Jeff Bridges, Isabella Rossellini, Rosie Perez, Tom Hulce",NA,7.2,14795,"English","USA","Nominated for 1 Oscar. Another 7 wins & 3 nominations.","2014-03-23 00:22:18.617000000",0
106912,"tt0106912","Fire in the Sky",1993,"PG-13",109,"Biography, Drama, Horror","1993-03-12","Robert Lieberman","Travis Walton (book), Tracy Tormé (screenplay)","D.B. Sweeney, Robert Patrick, Craig Sheffer, Peter Berg",NA,6.5,12387,"English","USA","4 nominations.","2014-03-17 01:47:00.503000000",0
106918,"tt0106918","The Firm",1993,"R",154,"Drama, Mystery, Thriller","1993-06-30","Sydney Pollack","John Grisham (novel), David Rabe (screenplay), Robert Towne (screenplay), David Rayfiel (screenplay)","Tom Cruise, Jeanne Tripplehorn, Gene Hackman, Hal Holbrook",58,6.8,69417,"English","USA","Nominated for 2 Oscars. Another 2 wins & 4 nominations.","2014-03-30 01:02:27.933000000",0
106926,"tt0106926","Flesh and Bone",1993,"R",126,"Drama, Mystery, Romance","1993-11-05","Steve Kloves","Steve Kloves","Julia McNeal, Ron Kuhlman, Jerry Swindall, Ryan Bohls",NA,6.2,3561,"English","USA","1 win.","2014-03-18 01:08:34.180000000",0
106950,"tt0106950","Fortress",1992,"R",95,"Action, Sci-Fi, Thriller","1993-09-03","Stuart Gordon","Troy Neighbors (story), Steven Feinberg (story), Troy Neighbors (screenplay), Steven Feinberg (screenplay), David Venable (screenplay), Terry Curtis Fox (screenplay)","Christopher Lambert, Kurtwood Smith, Loryn Locklin, Clifton Collins Jr.",NA,5.8,20073,"English","Australia, USA","2 nominations.","2014-03-14 00:18:22.630000000",0
106965,"tt0106965","Free Willy",1993,"PG",112,"Family, Adventure, Drama","1993-07-16","Simon Wincer","Keith Walker (story), Keith Walker (screenplay), Corey Blechman (screenplay)","Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg",79,5.8,37759,"English","USA, France","7 wins & 2 nominations.","2014-03-13 00:02:40",0
106966,"tt0106966","Strawberry and Chocolate",1993,"R",108,"Comedy, Drama, Romance","1995-01-20","Tomás Gutiérrez Alea, Juan Carlos Tabío","Tomás Gutiérrez Alea (collaboration), Senel Paz (screenplay), Senel Paz (story)","Jorge Perugorría, Vladimir Cruz, Mirta Ibarra, Francisco Gattorno",NA,7.4,3522,"Spanish, English, French","Cuba, Mexico, Spain, USA","Nominated for 1 Oscar. Another 25 wins & 1 nomination.","2014-03-30 01:49:07.093000000",0
106977,"tt0106977","The Fugitive",1993,"PG-13",130,"Action, Adventure, Crime","1993-08-06","Andrew Davis","Jeb Stuart (screenplay), David Twohy (screenplay), David Twohy (story), Roy Huggins (characters)","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",88,7.8,175786,"English, Polish, Spanish","USA","Won 1 Oscar. Another 12 wins & 23 nominations.","2014-03-13 00:20:27.213000000",1
107002,"tt0107002","Germinal",1993,"R",160,"Drama, Romance","1994-03-01","Claude Berri","Claude Berri, Arlette Langmann, Émile Zola (novel)","Miou-Miou, Renaud, Jean Carmet, Judith Henry",NA,7.1,2870,"French","France, Belgium, Italy","2 wins & 10 nominations.","2014-03-23 00:17:21.383000000",0
107004,"tt0107004","Geronimo: An American Legend",1993,"PG-13",115,"Drama, History, Western","1993-12-10","Walter Hill","John Milius (story), John Milius (screenplay), Larry Gross (screenplay)","Jason Patric, Gene Hackman, Robert Duvall, Wes Studi",NA,6.4,5519,"English","USA","Nominated for 1 Oscar. Another 1 win & 1 nomination.","2014-03-22 01:12:39.833000000",0
107007,"tt0107007","Gettysburg",1993,"PG",271,"Drama, History, War","1993-10-08","Ronald F. Maxwell","Michael Shaara (novel), Ronald F. Maxwell (screenplay)","Tom Berenger, Martin Sheen, Stephen Lang, Richard Jordan",NA,7.7,19073,"English","USA","1 nomination.","2014-03-17 00:05:50.550000000",0
107034,"tt0107034","The Good Son",1993,"R",87,"Drama, Thriller","1993-09-24","Joseph Ruben","Ian McEwan","Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse",NA,6.3,23680,"English","USA","1 win & 2 nominations.","2014-03-17 00:01:00.143000000",0
107048,"tt0107048","Groundhog Day",1993,"PG",101,"Comedy, Drama, Fantasy","1993-02-12","Harold Ramis","Danny Rubin (screenplay), Harold Ramis (screenplay), Danny Rubin (story)","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",72,8.1,309100,"English, French, Italian","USA","Won 1 BAFTA Film Award. Another 6 wins & 7 nominations.","2014-03-25 00:35:11.937000000",0
107050,"tt0107050","Grumpy Old Men",1993,"PG-13",103,"Comedy, Drama","1993-12-25","Donald Petrie","Mark Steven Johnson","Jack Lemmon, Walter Matthau, Ann-Margret, Burgess Meredith",53,6.9,28985,"English","USA","1 win.","2014-03-21 00:10:31.017000000",0
107057,"tt0107057","Guilty as Sin",1993,"R",107,"Crime, Drama, Thriller","1993-06-04","Sidney Lumet","Larry Cohen","Rebecca De Mornay, Don Johnson, Stephen Lang, Jack Warden",NA,5.5,3158,"English","USA",NA,"2014-04-04 19:53:05.317000000",0
107076,"tt0107076","Hard Target",1993,"R",97,"Action, Thriller","1993-08-20","John Woo","Chuck Pfarrer","Chuck Pfarrer, Robert Apisa, Arnold Vosloo, Lance Henriksen",NA,6,28243,"English","USA","1 win & 5 nominations.","2014-04-01 00:44:28.423000000",0
107079,"tt0107079","Sugar Hill",1993,"R",123,"Thriller, Drama","1994-02-25","Leon Ichaso","Barry Michael Cooper","Wesley Snipes, Khandi Alexander, DeVaughn Nixon, Marquise Wilson",NA,5.8,2566,"English","USA",NA,"2014-03-14 00:52:33.640000000",0
107091,"tt0107091","Heart and Souls",1993,"PG-13",104,"Comedy, Drama, Fantasy","1993-08-13","Ron Underwood","Gregory Hansen (short film), Gregory Hansen (screen story), Erik Hansen (screen story), Brent Maddock (screen story), S.S. Wilson (screen story), Brent Maddock (screenplay), S.S. Wilson (screenplay), Gregory Hansen (screenplay), Erik Hansen (screenplay)","Robert Downey Jr., Charles Grodin, Alfre Woodard, Kyra Sedgwick",NA,6.8,11046,"English","USA","1 win & 10 nominations.","2014-03-31 00:01:05.680000000",0
107096,"tt0107096","Heaven & Earth",1993,"R",140,"Action, Biography, Drama","1994-01-07","Oliver Stone","Le Ly Hayslip (book), Jay Wurts (book), Le Ly Hayslip (book), James Hayslip (book), Oliver Stone (screenplay)","Haing S. Ngor, Bussaro Sanruck, Supak Pititam, Joan Chen",NA,6.8,9064,"English, Vietnamese","France, USA","Won 1 Golden Globe. Another 2 nominations.","2014-03-18 00:53:10.057000000",0
107120,"tt0107120","Hocus Pocus",1993,"PG",96,"Comedy, Family, Fantasy","1993-07-16","Kenny Ortega","David Kirschner (story), Mick Garris (story), Mick Garris (screenplay), Neil Cuthbert (screenplay)","Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz",NA,6.5,43550,"English","USA","2 wins & 9 nominations.","2014-04-03 04:44:05.370000000",0
107130,"tt0107130","A Home of Our Own",1993,"PG",104,"Biography, Drama","1993-11-05","Tony Bill","Patrick Sheane Duncan","Kathy Bates, Edward Furlong, Clarissa Lassig, Sarah Schaub",NA,7,1848,"English","USA","1 win & 3 nominations.","2014-03-19 01:18:48",0
107131,"tt0107131","Homeward Bound: The Incredible Journey",1993,"G",84,"Adventure, Drama, Family","1993-02-03","Duwayne Dunham","Sheila Burnford (novel), Caroline Thompson (screenplay), Linda Woolverton (screenplay)","Don Alder, Ed Bernard, Kevin Chevalia, Anne Christianson",NA,6.9,25620,"English","USA",NA,"2014-03-27 02:49:05.893000000",0
107144,"tt0107144","Hot Shots! Part Deux",1993,"PG-13",86,"Action, Comedy, War","1993-05-21","Jim Abrahams","Jim Abrahams (characters), Pat Proft (characters), Jim Abrahams, Pat Proft","Charlie Sheen, Lloyd Bridges, Valeria Golino, Richard Crenna",NA,6.5,51379,"English","USA","1 win.","2014-03-27 00:49:00.967000000",0
107151,"tt0107151","The House of the Spirits",1993,"R",140,"Drama, Romance","1994-04-01","Bille August","Isabel Allende (novel), Bille August","Maria Conchita Alonso, António Assunção, Julie Balloo, Frank Baker",NA,6.9,14017,"English, Spanish","Portugal, Germany, Denmark, USA","11 wins.","2014-03-24 00:18:16.580000000",0
107152,"tt0107152","Household Saints",1993,"R",124,"Drama","1993-09-15","Nancy Savoca","Francine Prose (novel), Richard Guay (screenplay), Nancy Savoca (screenplay)","Tracey Ullman, Vincent D'Onofrio, Lili Taylor, Judith Malina",NA,6.8,704,"English, Italian","USA","1 win & 2 nominations.","2014-02-19 01:54:17.787000000",0
107156,"tt0107156","The Wedding Banquet",1993,"R",106,"Comedy, Drama, Romance","1993-08-04","Ang Lee","Ang Lee, Neil Peng, James Schamus","Ya-lei Kuei, Sihung Lung, May Chin, Winston Chao",NA,7.7,9085,"Mandarin, English","Taiwan, USA","Nominated for 1 Oscar. Another 12 wins & 7 nominations.","2014-04-01 03:04:04.927000000",0
