"ID","imdbID","Title","Year","Rating","Runtime","Genre","Released","Director","Writer","Cast","Metacritic","imdbRating","imdbVotes","Language","Country","Awards","lastUpdated","Oscars"
4972,"tt0004972","The Birth of a Nation",1915,"Not Rated",165,"Drama, History, Romance","1915-03-03","D.W. Griffith","Thomas F. Dixon Jr. (adapted from his novel: ""The Clansman: An Historical Romance of the Ku Klux Klan""), Thomas F. Dixon Jr. (play), Thomas F. Dixon Jr. (novel), D.W. Griffith, Frank E. Woods","Lillian Gish, Mae Marsh, Henry B. Walthall, Miriam Cooper",NA,6.9,13793,NA,"USA","1 win.","2014-03-31 02:13:23.440000000",0
6206,"tt0006206","Les vampires",1915,"Not Rated",399,"Action, Adventure, Crime","1915-11-13","Louis Feuillade","Louis Feuillade","Musidora, Édouard Mathé, Marcel Lévesque, Jean Aymé",NA,6.6,2502,"French","France","1 nomination.","2014-03-07 00:05:37.133000000",0
6864,"tt0006864","Intolerance: Love's Struggle Throughout the Ages",1916,"Not Rated",197,"Drama, History","1916-09-05","D.W. Griffith","D.W. Griffith (scenario), Anita Loos (titles)","Lillian Gish, Spottiswoode Aitken, Mary Alden, Frank Bennett",NA,8,8673,NA,"USA","1 win.","2014-03-27 01:05:04.920000000",0
9470,"tt0009470","Over the Top",1918,NA,0,"Drama, War","1918-03-31","Wilfrid North","Robert Gordon Anderson (scenario), Arthur Guy Empey (book)","Arthur Guy Empey, Lois Meredith, James Morrison, Arthur Donaldson",NA,NA,NA,NA,"USA",NA,"2014-01-31 00:00:00",0
9968,"tt0009968","Broken Blossoms or The Yellow Man and the Girl",1919,"Not Rated",90,"Drama, Romance","1919-10-20","D.W. Griffith","Thomas Burke (adapted from a story by), D.W. Griffith","Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard",NA,7.7,5821,NA,"USA","1 win.","2014-03-24 01:47:25.100000000",0
10323,"tt0010323","The Cabinet of Dr. Caligari",1920,"Unrated",67,"Horror","1921-03-19","Robert Wiene","Carl Mayer (story), Hans Janowitz (story)","Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover",NA,8.1,28432,NA,"Germany",NA,"2014-03-02 02:01:58.027000000",0
11130,"tt0011130","Dr. Jekyll and Mr. Hyde",1920,"Unrated",49,"Drama, Horror, Sci-Fi","1920-04-01","John S. Robertson","Robert Louis Stevenson (by), Clara Beranger (scenario)","John Barrymore, Brandon Hurst, Martha Mansfield, Charles Lane",NA,7.1,2652,"English","USA",NA,"2014-03-01 05:02:53.867000000",0
11841,"tt0011841","Way Down East",1920,"Not Rated",145,"Drama, Romance","1920-09-03","D.W. Griffith","Lottie Blair Parker (from the play by), William A. Brady (play), Joseph R. Grismer (elaborated by), Anthony Paul Kelly (scenario)","Lillian Gish, Richard Barthelmess, Mrs. David Landau, Lowell Sherman",NA,8.1,3126,NA,"USA",NA,"2014-03-20 00:13:52.237000000",0
12349,"tt0012349","The Kid",1921,"Not Rated",68,"Comedy, Drama, Family","1921-02-06","Charles Chaplin","Charles Chaplin","Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin",NA,8.4,40584,"English","USA","1 win.","2014-03-27 00:07:09.720000000",0
12532,"tt0012532","Orphans of the Storm",1921,"Not Rated",150,"Drama",NA,"D.W. Griffith","Adolphe d'Ennery (novel), Eugène Cormon (novel), D.W. Griffith","Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee",NA,8.1,3118,"English","USA",NA,"2014-03-18 01:09:07.587000000",0
12920,"tt0012920","Barb Wire",1922,NA,0,"Western","1922-06-01","Francis J. Grandon","William Berke, Marin Sais","Jack Hoxie, Jean Porter, Olah Norman, William Berke",NA,5.6,9,"English","USA",NA,"2014-03-18 00:40:46.630000000",0
12938,"tt0012938","Beyond the Rocks",1922,"TV-PG",80,"Drama","1922-05-07","Sam Wood","Elinor Glyn (based on the novel by), Jack Cunningham (scenario)","Rudolph Valentino, Gloria Swanson, Edythe Chapman, Alec B. Francis",NA,7.9,1803,NA,"USA",NA,"2014-03-02 02:09:59.640000000",0
13086,"tt0013086","Dr. Mabuse: The Gambler",1922,"Not Rated",242,"Crime, Mystery, Thriller","1922-05-26","Fritz Lang","Norbert Jacques (novel), Fritz Lang, Thea von Harbou","Rudolf Klein-Rogge, Aud Egede-Nissen, Gertrude Welcker, Alfred Abel",NA,7.8,3990,"German","Germany",NA,"2014-03-21 00:51:58.910000000",0
13257,"tt0013257","Häxan: Witchcraft Through the Ages",1922,"Not Rated",91,"Horror","1929-05-27","Benjamin Christensen","Benjamin Christensen","Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt",NA,7.7,5899,"Swedish, Danish","Sweden",NA,"2014-03-26 00:57:21.827000000",0
13427,"tt0013427","Nanook of the North",1922,"Not Rated",79,"Documentary","1922-06-11","Robert J. Flaherty",NA,"Allakariallak, Nyla, Allee, Cunayou",NA,7.8,5808,NA,"USA, France","1 win.","2014-03-20 01:12:16.460000000",0
13442,"tt0013442","Nosferatu",1922,"Unrated",81,"Horror","1929-06-03","F.W. Murnau","Henrik Galeen (screen play)","Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell",NA,8,55862,"German","Germany","1 nomination.","2014-04-03 00:57:12.103000000",0
14142,"tt0014142","The Hunchback of Notre Dame",1923,"Unrated",133,"Drama, Romance","1923-09-06","Wallace Worsley","Victor Hugo (implied by title card), Perley Poore Sheehan (adaptation), Edward T. Lowe Jr. (scenario)","Lon Chaney, Patsy Ruth Miller, Norman Kerry, Kate Lester",NA,7.4,2806,NA,"USA","1 win.","2014-03-16 00:30:27.723000000",0
14341,"tt0014341","Our Hospitality",1923,"Not Rated",65,"Comedy, Family","1923-11-19","John G. Blystone, Buster Keaton","Jean C. Havez (story), Clyde Bruckman (story), Joseph A. Mitchell (story)","Joe Roberts, Ralph Bushman, Craig Ward, Monte Collins",NA,7.9,5599,"English","USA","1 nomination.","2014-03-18 00:16:41.760000000",0
14429,"tt0014429","Safety Last!",1923,"Not Rated",70,"Comedy, Romance, Thriller","1923-04-01","Fred C. Newmeyer, Sam Taylor","Hal Roach (story), Sam Taylor (story), Tim Whelan (story), H.M. Walker (titles)","Harold Lloyd, Mildred Davis, Bill Strother, Noah Young",NA,8.3,9967,"English","USA","1 win & 1 nomination.","2014-03-24 01:49:00.163000000",0
14624,"tt0014624","A Woman of Paris: A Drama of Fate",1923,"TV-PG",78,"Drama, Romance","1924-02-25","Charles Chaplin","Charles Chaplin","Edna Purviance, Clarence Geldart, Carl Miller, Lydia Knott",NA,7.2,2600,NA,"USA","1 win.","2014-03-07 00:19:38.553000000",0
14759,"tt0014759","Captain Blood",1924,NA,110,"Action, Adventure, Romance","1924-09-21","David Smith, Albert E. Smith","Rafael Sabatini (novel), Jay Pilcher (scenario)","J. Warren Kerrigan, Jean Paige, Charlotte Merriam, James Morrison",NA,6.6,18,NA,"USA",NA,"2014-02-05 00:00:00",0
15064,"tt0015064","The Last Laugh",1924,"Not Rated",90,"Drama","1925-01-05","F.W. Murnau","Carl Mayer","Emil Jannings, Maly Delschaft, Max Hiller, Emilie Kurz",NA,8,7087,NA,"Germany",NA,"2014-03-24 01:31:07.947000000",0
15163,"tt0015163","The Navigator",1924,"Unrated",59,"Action, Comedy","1924-10-13","Donald Crisp, Buster Keaton","Clyde Bruckman (story), Joseph A. Mitchell (story), Jean C. Havez (story)","Buster Keaton, Kathryn McGuire, Frederick Vroom",NA,8.1,5142,NA,"USA","1 nomination.","2014-03-07 00:38:57.193000000",0
15400,"tt0015400","The Thief of Bagdad",1924,"Approved",155,"Adventure, Family, Fantasy","1924-03-23","Raoul Walsh","Lotta Woods (scenario editor), Douglas Fairbanks (story)","Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston",NA,7.9,3122,NA,"USA","2 wins.","2014-03-04 02:16:16.263000000",0
15648,"tt0015648","Battleship Potemkin",1925,"Unrated",66,"Drama, History","1925-12-24","Sergei M. Eisenstein","Nina Agadzhanova (script)","Aleksandr Antonov, Vladimir Barsky, Grigori Aleksandrov, Ivan Bobrov",NA,8,32244,"Russian","Soviet Union",NA,"2014-04-01 00:15:13.610000000",0
15864,"tt0015864","The Gold Rush",1925,"Not Rated",95,"Adventure, Comedy, Family",NA,"Charles Chaplin","Charles Chaplin","Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",NA,8.3,45353,"English","USA","Nominated for 2 Oscars. Another 2 wins & 1 nomination.","2014-03-27 00:04:12.373000000",0
15881,"tt0015881","Greed",1924,"Not Rated",140,"Drama","1925-01-26","Erich von Stroheim","June Mathis (screen adaptation and scenario), Erich von Stroheim (screen adaptation and scenario), Frank Norris (from the American classic ""McTeague"" by)","Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller",NA,7.8,5976,"English","USA","1 win.","2014-03-24 02:00:19.303000000",0
16220,"tt0016220","The Phantom of the Opera",1925,"Unrated",93,"Horror, Thriller","1925-11-15","Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick","Gaston Leroux (from the celebrated novel by)","Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe",NA,7.8,9936,NA,"USA","2 wins.","2014-03-13 00:30:48.697000000",0
16308,"tt0016308","Sally of the Sawdust",1925,NA,104,"Comedy","1925-08-02","D.W. Griffith","Dorothy Donnelly (play), Forrest Halsey","Carol Dempster, W.C. Fields, Alfred Lunt, Erville Alderson",NA,7,335,NA,"USA",NA,"2014-03-23 00:13:19.353000000",0
16332,"tt0016332","Seven Chances",1925,"Not Rated",56,"Comedy, Family, Romance","1925-03-11","Buster Keaton","Roi Cooper Megrue (adapted from David Belasco's famous comedy by), Clyde Bruckman (screen version), Jean C. Havez (screen version), Joseph A. Mitchell (screen version)","Buster Keaton, T. Roy Barnes, Snitz Edwards, Ruth Dwyer",NA,8,4582,"English","USA","1 win & 1 nomination.","2014-03-23 00:04:18.760000000",0
16847,"tt0016847","Faust",1926,"Not Rated",85,"Drama, Fantasy, Horror","1926-12-06","F.W. Murnau","Johann Wolfgang Goethe (play), Gerhart Hauptmann (titles), Hans Kyser (titles)","Gösta Ekman, Emil Jannings, Camilla Horn, Frida Richard",NA,8,8145,"German","Germany",NA,"2014-03-14 00:03:13.690000000",0
16884,"tt0016884","Flesh and the Devil",1926,"Not Rated",112,"Drama, Romance","1926-12-25","Clarence Brown","Benjamin Glazer (screen play), Hermann Sudermann (from the novel ""The Undying Past"" by), Marian Ainslee (titles)","John Gilbert, Greta Garbo, Lars Hanson, Barbara Kent",NA,8.1,2775,NA,"USA","1 win.","2014-03-26 01:37:19.647000000",0
17075,"tt0017075","The Lodger",1927,"Unrated",68,"Crime, Drama, Mystery","1927-02-14","Alfred Hitchcock","Marie Belloc Lowndes (from the novel by), Eliot Stannard (scenario)","Marie Ault, Arthur Chesney, June, Malcolm Keen",NA,7.4,5191,"English","UK",NA,"2014-03-13 00:28:17.573000000",0
17117,"tt0017117","Mannequin",1926,NA,70,NA,"1926-01-11","James Cruze","Frances Agnew, Fannie Hurst (story), Walter Woods (adaptation)","Alice Joyce, Warner Baxter, Dolores Costello, Zasu Pitts",NA,7.7,7,"English","USA",NA,"2013-12-27 00:00:00",0
17136,"tt0017136","Metropolis",1927,"Not Rated",153,"Drama, Sci-Fi","1927-03-13","Fritz Lang","Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp",98,8.4,80932,"German","Germany","3 wins & 4 nominations.","2014-03-24 00:03:07.707000000",0
17765,"tt0017765","College",1927,"Not Rated",66,"Comedy, Drama, Sport","1927-11-01","James W. Horne, Buster Keaton","Carl Harbaugh (story), Bryan Foy (story)","Anne Cornwall, Flora Bramley, Harold Goodwin, Snitz Edwards",NA,7.2,2543,"English","USA","1 nomination.","2014-03-22 01:35:02.927000000",0
17925,"tt0017925","The General",1926,"Unrated",107,"Action, Adventure, Comedy","1927-02-24","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley",NA,8.3,37616,"English","USA","1 win & 1 nomination.","2014-03-31 01:02:30.220000000",0
18037,"tt0018037","The Jazz Singer",1927,"Unrated",88,"Drama, Music, Musical","1927-10-06","Alan Crosland","Samson Raphaelson (play), Alfred A. Cohn (adaptation), Jack Jarmuth (titles)","Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer",NA,6.9,5530,"English","USA","Nominated for 1 Oscar. Another 2 wins.","2014-03-04 00:56:15.193000000",0
18054,"tt0018054","The King of Kings",1927,"Not Rated",155,"Biography, Drama, History",NA,"Cecil B. DeMille","Jeanie Macpherson (story)","H.B. Warner, Dorothy Cumming, Ernest Torrence, Joseph Schildkraut",NA,7.6,1067,"English","USA",NA,"2014-03-23 00:17:27.273000000",0
18192,"tt0018192","Napoleon",1927,NA,240,"Biography, Drama, History","1929-02-17","Abel Gance","Abel Gance","Albert Dieudonné, Vladimir Roudenko, Edmond Van Daële, Alexandre Koubitzky",NA,7.3,4652,NA,"France","3 wins.","2014-03-06 00:23:56.573000000",0
18455,"tt0018455","Sunrise",1927,"Not Rated",94,"Drama, Romance","1927-11-04","F.W. Murnau","Carl Mayer (scenario), Hermann Sudermann (from an original theme by), Katherine Hilliker (titles), H.H. Caldwell (titles)","George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",NA,8.4,21005,NA,"USA","Won 3 Oscars. Another 2 wins & 1 nomination.","2014-03-14 00:06:04.877000000",3
18526,"tt0018526","Underworld",1927,"Not Rated",80,"Crime, Drama, Romance","1927-08-20","Josef von Sternberg, Arthur Rosson","Charles Furthman (adaptation), Ben Hecht (story), Robert N. Lee (adaptation), George Marion Jr. (titles)","George Bancroft, Evelyn Brent, Clive Brook, Fred Kohler",NA,7.8,1178,"English","USA",NA,"2014-02-28 07:07:10.863000000",0
18578,"tt0018578","Wings",1927,"PG-13",144,"Drama, Romance, War","1929-01-05","William A. Wellman, Harry d'Abbadie d'Arrast","John Monk Saunders (story), Hope Loring (screenplay), Louis D. Lighton (screenplay), Julian Johnson (titles)","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston",NA,7.9,5702,"English","USA","Won 2 Oscars. Another 3 wins.","2014-03-05 00:18:43.497000000",2
18737,"tt0018737","Pandora's Box",1929,"Not Rated",109,"Crime, Drama, Romance","1930-02-22","Georg Wilhelm Pabst","Frank Wedekind (plays), Ladislaus Vajda (scenario)","Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz",NA,8,6002,"German","Germany","1 nomination.","2014-03-30 04:19:06.563000000",0
18742,"tt0018742","The Cameraman",1928,"Not Rated",69,"Comedy, Romance, Family","1928-09-22","Edward Sedgwick, Buster Keaton","Clyde Bruckman (story), Lew Lipton (story), Richard Schayer (continuity), Joseph Farnham (titles)","Buster Keaton, Marceline Day, Harold Goodwin, Sidney Bracey",NA,8.3,5880,"English","USA","1 win.","2014-03-06 00:08:07.057000000",0
18773,"tt0018773","The Circus",1928,"Unrated",71,"Comedy, Romance",NA,"Charles Chaplin","Charles Chaplin","Al Ernest Garcia, Merna Kennedy, Harry Crocker, George Davis",NA,8.1,12198,NA,"USA","1 win.","2014-03-14 00:10:24.300000000",0
18806,"tt0018806","The Crowd",1928,"Not Rated",98,"Drama, Romance","1928-03-03","King Vidor","King Vidor (screen play), John V.A. Weaver (screen play), Joseph Farnham (titles)","Eleanor Boardman, James Murray, Bert Roach, Estelle Clark",NA,7.8,4752,NA,"USA","Nominated for 2 Oscars. Another 1 win.","2014-03-31 03:02:28.963000000",0
18839,"tt0018839","The Docks of New York",1928,"Not Rated",76,"Crime, Drama, Romance","1928-09-29","Josef von Sternberg","Jules Furthman (story), Julian Johnson (titles), John Monk Saunders (suggested by ""The Dock Walloper"")","George Bancroft, Betty Compson, Olga Baclanova, Clyde Cook",NA,7.8,2013,"English","USA","2 wins.","2014-04-02 00:52:22.797000000",0
19071,"tt0019071","The Last Command",1928,"Not Rated",88,"Drama, History, Romance","1928-09-24","Josef von Sternberg","Lajos Biró (story), John F. Goodrich, Herman J. Mankiewicz (titles), Josef von Sternberg (story)","Emil Jannings, Evelyn Brent, William Powell, Jack Raymond",NA,7.9,1746,"English","USA","Won 1 Oscar. Another 1 win & 1 nomination.","2014-03-14 00:08:28.393000000",1
19130,"tt0019130","The Man Who Laughs",1928,"Not Rated",110,"Drama, Horror, Mystery","1928-11-04","Paul Leni","Victor Hugo (novel), J. Grubb Alexander (adaptation), J. Grubb Alexander (continuity), Walter Anthony (titles)","Mary Philbin, Conrad Veidt, Julius Molnar Jr., Olga Baclanova",NA,7.8,2810,NA,"USA",NA,"2014-03-21 00:05:39.597000000",0
19254,"tt0019254","The Passion of Joan of Arc",1928,"Not Rated",114,"Biography, Drama, History","1928-10-25","Carl Theodor Dreyer","Joseph Delteil, Carl Theodor Dreyer","Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz",NA,8.3,19748,"French","France",NA,"2014-04-02 00:50:07",0
19421,"tt0019421","Steamboat Bill, Jr.",1928,"Not Rated",70,"Action, Comedy, Drama","1928-05-20","Charles Reisner, Buster Keaton","Carl Harbaugh (story)","Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis",NA,8,7248,"English","USA","1 nomination.","2014-04-02 00:40:24.420000000",0
19644,"tt0019644","Applause",1929,NA,80,"Drama, Musical","1930-01-04","Rouben Mamoulian","Beth Brown (story), Garrett Fort (adapted by)","Helen Morgan, Joan Peers, Fuller Mellish Jr., Jack Cameron",NA,7.4,821,"English","USA","1 win.","2014-03-29 04:14:01.810000000",0
19702,"tt0019702","Blackmail",1929,NA,85,"Crime, Thriller","1929-10-06","Alfred Hitchcock","Charles Bennett (from the play by), Alfred Hitchcock (adapted by), Benn W. Levy (dialogue)","Anny Ondra, Sara Allgood, Charles Paton, John Longden",NA,7.1,5931,"English","UK",NA,"2014-03-19 01:33:04.847000000",0
19729,"tt0019729","The Broadway Melody",1929,NA,100,"Musical, Romance","1929-06-06","Harry Beaumont","Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue by), James Gleason (dialogue by)","Charles King, Anita Page, Bessie Love",NA,6.6,3408,"English","USA","Won 1 Oscar. Another 2 nominations.","2014-03-14 00:25:35.397000000",1
19760,"tt0019760","Man with a Movie Camera",1929,"Not Rated",68,"Documentary","1929-05-12","Dziga Vertov","Dziga Vertov (scenario)","Mikhail Kaufman",NA,8.4,10637,NA,"Soviet Union",NA,"2014-03-14 00:09:26.143000000",0
19777,"tt0019777","The Cocoanuts",1929,NA,96,"Comedy, Musical","1929-08-03","Robert Florey, Joseph Santley","George S. Kaufman (book), Morrie Ryskind (adapted by)","The Marx Brothers, Zeppo Marx, Groucho Marx, Harpo Marx",NA,7.3,4515,"English","USA",NA,"2014-03-27 01:20:03.623000000",0
20142,"tt0020142","The Manxman",1929,NA,110,"Drama, Romance","1929-12-16","Alfred Hitchcock","Hall Caine (novel), Eliot Stannard (scenario)","Carl Brisson, Malcolm Keen, Anny Ondra, Randle Ayrton",NA,6.3,1469,"English","UK",NA,"2014-03-26 02:03:05.963000000",0
20269,"tt0020269","Piccadilly",1929,"TV-PG",92,"Drama, Crime","1929-06-01","Ewald André Dupont","Arnold Bennett (an original screenplay by)","Gilda Gray, Anna May Wong, Jameson Thomas, Charles Laughton",89,7.2,735,"English","UK",NA,"2014-02-27 11:39:09.883000000",0
20530,"tt0020530","Un Chien Andalou",1929,"Not Rated",16,"Short","1929-06-06","Luis Buñuel","Salvador Dalí (scenario), Luis Buñuel (scenario)","Simone Mareuil, Pierre Batcheff",NA,7.9,25212,"French","France",NA,"2014-04-04 18:16:44.413000000",0
20629,"tt0020629","All Quiet on the Western Front",1930,"Unrated",136,"Drama, War","1930-08-24","Lewis Milestone","Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)","Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy",NA,8.1,40629,"English, French, German, Latin","USA","Won 2 Oscars. Another 4 wins & 2 nominations.","2014-03-30 01:04:21.623000000",2
20640,"tt0020640","Animal Crackers",1930,NA,97,"Comedy, Musical","1930-08-28","Victor Heerman","George S. Kaufman (based on the musical play by), Morrie Ryskind (based on the musical play by), Bert Kalmar (based on the musical play by), Harry Ruby (based on the musical play by), Morrie Ryskind (screen play), Pierre Collings (continuity)","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx",NA,7.7,8962,"English","USA",NA,"2014-03-14 00:06:13.347000000",0
20697,"tt0020697","The Blue Angel",1930,"Not Rated",124,"Drama, Music","1931-01-03","Josef von Sternberg","Heinrich Mann (novel), Carl Zuckmayer, Karl Vollmöller, Robert Liebmann","Emil Jannings, Marlene Dietrich, Kurt Gerron, Rosa Valetti",88,7.9,8546,"German, English","Germany",NA,"2014-03-05 01:17:44.463000000",0
20960,"tt0020960","Hell's Angels",1930,NA,127,"Drama, War","1930-11-15","Howard Hughes, Edmund Goulding, James Whale","Marshall Neilan (story), Joseph Moncure March (story), Howard Estabrook (adaptation), Harry Behn (adaptation), Joseph Moncure March (dialogue written by)","Ben Lyon, James Hall, Jean Harlow, John Darrow",NA,7.9,3089,"English, German, French","USA",NA,"2014-03-04 00:43:25.757000000",0
21015,"tt0021015","The Shame of Mary Boyle",1929,NA,85,"Drama","1929-12-01","Alfred Hitchcock","Sean O'Casey (play), Alfred Hitchcock (adaptation), Alma Reville (scenario)","Barry Fitzgerald, Maire O'Neill, Edward Chapman, Sidney Morgan",NA,4.8,1277,"English","UK",NA,"2014-03-03 00:55:17.927000000",0
21079,"tt0021079","Little Caesar",1931,NA,79,"Crime, Drama, Film-Noir","1931-01-25","Mervyn LeRoy","W.R. Burnett (novel), Robert N. Lee (continuity), Francis Edward Faragoh (screen version), Francis Edward Faragoh (dialogue)","Edward G. Robinson, Douglas Fairbanks Jr., Glenda Farrell, William Collier Jr.",NA,7.4,6662,"English","USA","Nominated for 1 Oscar. Another 1 win.","2014-03-13 00:10:50.360000000",0
21165,"tt0021165","Murder!",1930,"TV-PG",92,"Crime, Mystery, Thriller","1930-11-24","Alfred Hitchcock","Clemence Dane (from: ""Enter Sir John""), Helen Simpson (from: ""Enter Sir John""), Alfred Hitchcock (adapted by), Walter C. Mycroft (adapted by), Alma Reville (scenario)","Herbert Marshall, Norah Baring, Phyllis Konstam, Edward Chapman",NA,6.4,3464,"English","UK",NA,"2014-03-22 01:04:43.490000000",0
21331,"tt0021331","The Blood of a Poet",1932,"Unrated",55,NA,"2010-05-20","Jean Cocteau","Jean Cocteau","Enrique Rivero, Elizabeth Lee Miller, Pauline Carton, Odette Talazac",NA,7.5,3231,"French","France","1 win.","2014-04-02 00:08:11.367000000",0
21409,"tt0021409","Under the Roofs of Paris",1930,"Not Rated",96,"Comedy, Drama, Romance","1930-01-02","René Clair","René Clair (scenario)","Albert Préjean, Pola Illéry, Edmond T. Gréville, Bill Bocket",NA,7.4,1188,"French, Romanian","France","1 win.","2014-03-14 00:12:10.487000000",0
21571,"tt0021571","Earth",1930,NA,75,"Drama","1930-10-17","Aleksandr Dovzhenko","Aleksandr Dovzhenko","Stepan Shkurat, Semyon Svashenko, Yuliya Solntseva, Yelena Maksimova",NA,7.5,2562,NA,"Soviet Union","1 win.","2014-02-28 00:00:58.293000000",0
21577,"tt0021577","L'Age d'Or",1930,NA,63,"Comedy, Drama","1979-11-01","Luis Buñuel","Luis Buñuel (scenario), Salvador Dalí (scenario)","Gaston Modot, Lya Lys, Caridad de Laberdesque, Max Ernst",NA,7.6,7153,"French","France",NA,"2014-03-23 01:37:36.853000000",0
21739,"tt0021739","La Chienne",1931,NA,95,"Drama","1976-04-30","Jean Renoir","Georges de La Fouchardière (novel), André Girard, André Mouézy-Éon (play), Jean Renoir","Michel Simon, Janie Marèse, Georges Flamant, Magdeleine Bérubet",NA,7.7,1719,"French","France",NA,"2014-03-10 00:30:12.797000000",0
21746,"tt0021746","Cimarron",1931,NA,123,"Drama, Western","1931-02-09","Wesley Ruggles","Edna Ferber (novel), Howard Estabrook (screen version), Howard Estabrook (dialogue)","Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",NA,6.1,2608,"English, French","USA","Won 3 Oscars. Another 2 wins & 4 nominations.","2014-03-30 02:26:26.390000000",3
21749,"tt0021749","City Lights",1931,NA,87,"Comedy, Drama, Romance","1931-03-07","Charles Chaplin","Charles Chaplin","Virginia Cherrill, Florence Lee, Florence Lee, Harry Myers",NA,8.7,70029,"English","USA","2 wins.","2014-03-25 00:39:00.423000000",0
21814,"tt0021814","Dracula",1931,"Approved",75,"Horror","1931-02-14","Tod Browning, Karl Freund","Bram Stoker (by), Hamilton Deane (from the play adapted by), John L. Balderston (from the play adapted by), Garrett Fort (play)","Bela Lugosi, Helen Chandler, David Manners, Dwight Frye",NA,7.7,25358,"English, Hungarian, Latin","USA","2 wins & 1 nomination.","2014-03-03 00:04:28.673000000",0
21873,"tt0021873","Five Star Final",1931,NA,89,"Crime, Drama, Film-Noir","1931-09-26","Mervyn LeRoy","Louis Weitzenkorn (based on the play by), Byron Morgan (screen play), Robert Lord (adaptation)","Edward G. Robinson, Marian Marsh, H.B. Warner, Anthony Bushell",NA,7.5,835,"English","USA",NA,"2014-03-09 00:02:53.793000000",0
21884,"tt0021884","Frankenstein",1931,"Unrated",70,"Horror, Sci-Fi","1931-11-21","James Whale","John L. Balderston (based upon the composition by), Mary Shelley (from the novel by), Peggy Webling (adapted from the play by), Garrett Fort (screen play), Francis Edward Faragoh (screen play), Richard Schayer (scenario editor)","Colin Clive, Mae Clarke, John Boles, Boris Karloff",NA,8,38443,"English, Latin","USA","2 wins.","2014-03-05 00:14:06.977000000",0
21890,"tt0021890","The Front Page",1931,"TV-PG",101,"Comedy","1931-04-04","Lewis Milestone","Ben Hecht (by), Charles MacArthur (by), Bartlett Cormack (adaptation), Charles Lederer (additional dialogue)","Adolphe Menjou, Pat O'Brien, Mary Brian, Edward Everett Horton",NA,7,1114,"English","USA","Nominated for 3 Oscars. Another 2 wins.","2014-02-21 02:34:20.220000000",0
22100,"tt0022100","M",1931,"Not Rated",99,"Crime, Drama, Thriller","1931-08-31","Fritz Lang","Thea von Harbou (script), Fritz Lang (script)","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke",NA,8.5,73915,"German","Germany","1 win.","2014-04-02 01:15:23.950000000",0
22158,"tt0022158","Monkey Business",1931,"Unrated",77,"Comedy","1931-09-19","Norman Z. McLeod","S.J. Perelman (by), Will B. Johnstone (by), Arthur Sheekman (additional dialogue)","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx",NA,7.6,7613,"English","USA",NA,"2014-03-06 00:27:11.110000000",0
22286,"tt0022286","The Public Enemy",1931,NA,83,"Crime, Drama","1931-04-23","William A. Wellman","Kubec Glasmon (by), John Bright (by), Harvey F. Thew (screen adaptation)","James Cagney, Jean Harlow, Edward Woods, Joan Blondell",NA,7.8,10349,"English","USA","Nominated for 1 Oscar. Another 1 win.","2014-03-03 01:34:50.850000000",0
22458,"tt0022458","Tabu: A Story of the South Seas",1931,"TV-PG",86,"Drama, Romance, Adventure","1931-03-19","F.W. Murnau","F.W. Murnau (told by), Robert J. Flaherty (told by)","Matahi, Anne Chevalier, Bill Bambridge, Hitu",NA,7.7,2537,"English","USA","Won 1 Oscar. Another 2 wins.","2014-03-22 00:16:24.920000000",1
